,titles,year,runtime,imbd,meta,vote,gross_amt
920,Duck Soup,1933,69,7.8,93        ,54960,
921,L'Avventura,1960,144,7.9,-,25874,
922,Adam's Apples,2005,94,7.8,51        ,44695,0.0
923,Sunrise,1927,94,8.1,-,46299,0.54
924,Sleuth,1972,138,8.0,-,44252,4.08
925,Kind Hearts and Coronets,1949,106,8.0,-,33948,
926,Jab We Met,2007,138,7.9,-,46721,0.41
927,The Girl Who Leapt Through Time,2006,98,7.7,-,59051,
928,Swades,2004,189,8.2,-,81778,1.22
929,In a Better World,2010,118,7.6,65        ,38123,1.01
930,"Black Cat, White Cat",1998,127,8.1,73        ,50063,0.35
931,Vampire Hunter D: Bloodlust,2000,103,7.7,62        ,28780,0.15
932,Vivre Sa Vie,1962,85,8.0,-,27142,
933,Inherit the Wind,1960,128,8.1,75        ,26841,
934,A Night at the Opera,1935,96,7.9,-,30149,2.54
935,Down by Law,1986,107,7.8,75        ,47122,1.44
936,Joint Security Area,2000,110,7.8,58        ,25786,
937,The Ladykillers,1955,91,7.7,91        ,25754,
938,My Sassy Girl,2001,137,8.0,-,44873,
939,No Man's Land,2001,98,7.9,84        ,44111,1.06
940,The Past,2013,130,7.8,85        ,44330,1.33
941,Dilwale Dulhania Le Jayenge,1995,181,8.1,-,62231,
942,Ace in the Hole,1951,111,8.1,72        ,30792,3.97
943,Departures,2008,130,8.1,68        ,47880,1.5
944,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97        ,55752,1.19
945,Fireworks,1997,103,7.8,-,27158,0.23
946,Interstate 60: Episodes of the Road,2002,116,7.7,-,29522,
947,The Magdalene Sisters,2002,114,7.7,83        ,25676,4.89
948,Joyeux Noel,2005,116,7.7,70        ,27209,1.05
949,The Purple Rose of Cairo,1985,82,7.7,75        ,46380,10.63
950,Celda 211,2009,113,7.6,-,63127,
951,Nights of Cabiria,1957,110,8.1,-,42122,0.75
952,Sweet Smell of Success,1957,96,8.1,100        ,27448,
953,Knockin' on Heaven's Door,1997,87,8.0,-,27192,0.0
954,The Lost Weekend,1945,101,7.9,-,32977,9.46
955,Barfi!,2012,151,8.1,-,74446,2.8
956,Nine Queens,2000,114,7.9,80        ,49064,1.22
957,The Triplets of Belleville,2003,80,7.8,91        ,50088,7.0
958,Tokyo Godfathers,2003,92,7.8,73        ,30170,0.13
959,The Circus,1928,72,8.1,90        ,28350,
960,Badhaai Ho,2018,124,8.0,-,26732,
961,The Killer,1989,111,7.8,82        ,45150,
962,Udaan,2010,134,8.2,-,41776,0.01
963,The Visitor,2007,104,7.6,79        ,41276,9.42
964,Udta Punjab,2016,148,7.8,-,26527,
965,Au Revoir les Enfants,1987,104,8.0,88        ,30650,4.54
966,Dil Chahta Hai,2001,183,8.1,-,65789,0.3
967,Baby,2015,159,8.0,-,51994,
968,Andaz Apna Apna,1994,160,8.2,-,48576,
969,G.O.R.A.,2004,127,8.0,-,55500,
970,Love and Death,1975,85,7.7,89        ,35441,
971,The Muppet Christmas Carol,1992,85,7.7,64        ,46543,27.28
972,Sanjuro,1962,96,8.1,-,31912,
973,Dev.D,2009,144,8.0,-,28343,0.01
974,English Vinglish,2012,134,7.8,-,32986,1.67
975,Hera Pheri,2000,156,8.2,-,55489,
976,Special 26,2013,144,8.0,-,49991,1.08
977,Central Station,1998,110,8.0,80        ,35676,5.6
978,A Wednesday,2008,104,8.1,-,72929,
979,Zelig,1983,79,7.7,-,39376,11.8
980,Veer-Zaara,2004,192,7.8,67        ,48127,2.92
981,Lage Raho Munna Bhai,2006,144,8.1,-,42237,2.22
982,The Edge of Heaven,2007,122,7.8,85        ,30451,0.74
983,Kai Po Che,2013,120,7.7,40        ,31129,1.12
984,La Grande Illusion,1937,113,8.1,-,33339,0.17
985,Confessions,2010,106,7.8,-,35067,
986,Paan Singh Tomar,2012,135,8.2,-,32610,0.04
987,Munna Bhai M.B.B.S.,2003,156,8.1,-,72462,
988,The Rules of the Game,1939,110,8.0,-,26259,
989,Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64        ,37465,1.11
990,OMG: Oh My God!,2012,125,8.1,-,50238,0.92
991,Chak De! India,2007,153,8.2,68        ,72722,1.11
992,Airlift,2016,130,8.0,-,52144,
993,Le Dîner de Cons,1998,80,7.7,73        ,36785,4.07
994,Vicky Donor,2012,126,7.8,-,39072,0.17
995,Black,2005,122,8.2,-,33006,0.73
996,Bhaag Milkha Bhaag,2013,186,8.2,-,59927,1.63
997,The Breath,2009,128,8.0,-,31332,
998,Vizontele,2001,110,8.0,-,32553,
999,Drishyam,2013,160,8.3,-,29965,
