,titles,year,runtime,imbd,meta,vote,gross_amt
253,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80        ,848171,936.66
254,The Last Samurai,2003,154,7.7,55        ,394174,111.11
255,Downfall,2004,156,8.2,82        ,326349,5.51
256,The Imitation Game,2014,114,8.0,73        ,671908,91.13
257,The Incredibles,2004,115,8.0,90        ,645920,261.44
258,The Intouchables,2011,112,8.5,57        ,741543,13.18
259,Casablanca,1942,102,8.5,100        ,513099,1.02
260,X-Men: Days of Future Past,2014,132,7.9,75        ,652513,233.92
261,Ratatouille,2007,111,8.0,96        ,628297,206.45
262,The Bourne Identity,2002,119,7.9,68        ,501056,121.66
263,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87        ,569703,42.34
264,Rocky,1976,120,8.1,70        ,508876,117.24
265,Into the Wild,2007,148,8.1,73        ,563417,18.35
266,Being John Malkovich,1999,113,7.7,90        ,307487,22.86
267,Scent of a Woman,1992,156,8.0,59        ,256098,63.9
268,The Birds,1963,119,7.7,90        ,168410,11.4
269,The Royal Tenenbaums,2001,110,7.6,76        ,262271,52.36
270,Incendies,2010,131,8.3,80        ,144539,6.86
271,The Hunt,2012,115,8.3,77        ,272154,0.69
272,The Others,2001,104,7.6,74        ,332001,96.52
273,The Game,1997,129,7.8,61        ,338680,48.32
274,The Right Stuff,1983,193,7.8,91        ,55267,21.5
275,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58        ,932908,309.13
276,Zombieland,2009,88,7.6,73        ,513065,75.59
277,X-Men: First Class,2011,131,7.7,65        ,638921,146.41
278,Captain America: The Winter Soldier,2014,136,7.7,70        ,722972,259.77
279,Memories of Murder,2003,132,8.1,82        ,130843,0.01
280,Training Day,2001,122,7.7,69        ,383424,76.63
281,Howl's Moving Castle,2004,119,8.2,80        ,322862,4.71
282,The Hobbit: The Desolation of Smaug,2013,161,7.8,66        ,592927,258.37
283,Once Upon a Time in the West,1968,165,8.5,80        ,297421,5.32
284,Gone with the Wind,1939,238,8.1,97        ,285445,198.68
285,Office Space,1999,89,7.7,68        ,238557,10.82
286,Rear Window,1954,112,8.4,100        ,435446,36.76
287,12 Monkeys,1995,129,8.0,74        ,570778,57.14
288,Who Framed Roger Rabbit,1988,104,7.7,83        ,179371,156.45
289,Capernaum,2018,126,8.4,75        ,55936,1.66
290,Silver Linings Playbook,2012,122,7.7,81        ,653229,132.09
291,Predator,1987,107,7.8,45        ,366194,59.74
292,Toy Story,1995,81,8.3,95        ,869632,191.8
293,The Godfather: Part III,1990,162,7.6,60        ,352255,66.67
294,Sleepers,1996,147,7.6,49        ,184415,49.1
295,North by Northwest,1959,136,8.3,98        ,293784,13.28
296,Blue Is the Warmest Colour,2013,180,7.7,89        ,136176,2.2
297,Brokeback Mountain,2005,134,7.7,87        ,318502,83.04
298,Amélie,2001,122,8.3,69        ,693524,33.23
299,In Bruges,2008,107,7.9,67        ,385370,7.76
300,Amadeus,1984,160,8.3,88        ,363058,51.97
301,Taken,2008,90,7.8,51        ,559611,145.0
302,"Monsters, Inc.",2001,92,8.0,79        ,799537,289.92
303,Come and See,1985,142,8.3,-,55539,
304,Evil Dead II,1987,84,7.8,72        ,145550,5.92
305,L.A. Confidential,1997,138,8.2,90        ,524051,64.62
306,A Few Good Men,1992,138,7.7,62        ,230884,141.34
307,Platoon,1986,120,8.1,92        ,375122,138.53
308,Primal Fear,1996,129,7.7,47        ,183949,56.12
309,The Fault in Our Stars,2014,126,7.7,69        ,338790,124.87
310,Shrek,2001,90,7.8,84        ,603270,267.67
311,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66        ,527159,3.9
312,Up,2009,96,8.2,88        ,916852,293.0
313,Deliverance,1972,109,7.7,80        ,97330,7.06
314,Tangled,2010,100,7.7,71        ,398313,200.82
315,Mystic River,2003,138,7.9,84        ,413262,90.14
316,Glory,1989,122,7.8,78        ,120086,26.83
317,Mary Poppins,1964,139,7.8,88        ,155123,102.27
